dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	LSD	RAxML-NG	region	Eastern Africa	45	5	0.8
locrisk260.1	LSD	RAxML-NG	region	Eastern Asia	1	2	-0.3333333333333333
locrisk260.1	LSD	RAxML-NG	region	Eastern Europe	0	1	-1
locrisk260.1	LSD	RAxML-NG	region	Northern America	0	2	-1
locrisk260.1	LSD	RAxML-NG	region	Northern Europe	9	9	0
locrisk260.1	LSD	RAxML-NG	region	South	0	2	-1
locrisk260.1	LSD	RAxML-NG	region	South America	1	1	0
locrisk260.1	LSD	RAxML-NG	region	Southern Africa	7	25	-0.5625
locrisk260.1	LSD	RAxML-NG	region	Southern Asia	3	3	0
locrisk260.1	LSD	RAxML-NG	region	Southern Europe	1	5	-0.6666666666666666
locrisk260.1	LSD	RAxML-NG	region	Western Africa	0	3	-1
locrisk260.1	LSD	RAxML-NG	region	Western Asia	0	6	-1
locrisk260.1	LSD	RAxML-NG	region	Western Europe	0	3	-1
locrisk260.1	LSD	RAxML-NG	risk4	OT	31	55	-0.27906976744186046
locrisk260.1	LSD	RAxML-NG	risk4	PI	2	2	0
locrisk260.1	LSD	RAxML-NG	risk4	SH	58	30	0.3181818181818182
locrisk260.1	LSD	RAxML-NG	risk4	SM	0	4	-1
locrisk260.1	LSD	RAxML-NG	risk5	MB	0	4	-1
locrisk260.1	LSD	RAxML-NG	risk5	OT	3	124	-0.952755905511811
locrisk260.1	LSD	RAxML-NG	risk5	PI	2	2	0
locrisk260.1	LSD	RAxML-NG	risk5	SH	132	3	0.9555555555555556
locrisk260.1	LSD	RAxML-NG	risk5	SM	0	4	-1
locrisk260.1	LSD	RAxML-NG	risk6	MB	0	4	-1
locrisk260.1	LSD	RAxML-NG	risk6	NR	3	117	-0.95
locrisk260.1	LSD	RAxML-NG	risk6	OT	8	12	-0.2
locrisk260.1	LSD	RAxML-NG	risk6	PI	2	2	0
locrisk260.1	LSD	RAxML-NG	risk6	SH	129	3	0.9545454545454546
locrisk260.1	LSD	RAxML-NG	risk6	SM	0	4	-1
locrisk260.1	TempEst	FastTree	continent	Africa	24	4	0.7142857142857143
locrisk260.1	TempEst	FastTree	continent	Americas	1	3	-0.5
locrisk260.1	TempEst	FastTree	continent	Asia	1	10	-0.8181818181818182
locrisk260.1	TempEst	FastTree	continent	Europe	10	19	-0.3103448275862069
locrisk260.1	TempEst	FastTree	country	AR	0	1	-1
locrisk260.1	TempEst	FastTree	country	BE	0	2	-1
locrisk260.1	TempEst	FastTree	country	BG	0	1	-1
locrisk260.1	TempEst	FastTree	country	BR	4	1	0.6
locrisk260.1	TempEst	FastTree	country	BW	0	6	-1
locrisk260.1	TempEst	FastTree	country	CN	0	2	-1
locrisk260.1	TempEst	FastTree	country	DE	0	1	-1
locrisk260.1	TempEst	FastTree	country	DK	0	1	-1
locrisk260.1	TempEst	FastTree	country	ES	1	5	-0.6666666666666666
locrisk260.1	TempEst	FastTree	country	ET	1	3	-0.5
locrisk260.1	TempEst	FastTree	country	GE	0	1	-1
locrisk260.1	TempEst	FastTree	country	IL	0	4	-1
locrisk260.1	TempEst	FastTree	country	IN	5	3	0.25
